2023-12-30,18:32:15,2023-12-30,18:34:45,SM7VUK,,144.174753,FT8,+11,-13,,,,
2023-12-30,18:38:30,2023-12-30,18:39:45,SM7KOJ,,144.174753,FT8,+08,-06,,,,
2023-12-30,18:44:00,2023-12-30,18:45:00,DL6BF,JO32,144.174753,FT8,-06,+07,,,,
2023-12-30,19:22:45,2023-12-30,19:24:15,DL9DBF,JO40,144.174753,FT8,-19,-08,,,,
2023-12-30,19:58:45,2023-12-30,20:00:12,OZ1IIL,JO47,144.174753,FT8,+02,+02,,,,
2023-12-30,20:47:00,2023-12-30,20:48:00,OZ1DGN,JO44,144.174753,FT8,+31,+25,,,,
2023-12-31,12:04:00,2023-12-31,12:07:27,DK1FIN,JO54,144.174753,FT8,-14,-15,,,,
2023-12-31,13:08:00,2023-12-31,13:09:45,SM0LQB,,144.174753,FT8,-20,-14,,,,
2023-12-31,13:13:45,2023-12-31,13:13:45,DO7JVK,,144.174753,FT8,-17,-17,,,,
2023-12-31,13:15:15,2023-12-31,13:16:15,DK6MG,JO30,144.174753,FT8,-16,-13,,,,
2023-12-31,13:59:00,2023-12-31,14:00:42,SM6VTZ,JO58,144.174838,FT8,+03,+04,,,,
2023-12-31,14:55:00,2023-12-31,14:56:12,DL2LAU,JO44,144.174838,FT8,+15,+22,,,,
2023-12-31,15:05:30,2023-12-31,15:09:12,SM0DJW,JO88,144.174838,FT8,-08,-08,,,,
2023-12-31,15:54:45,2023-12-31,15:54:45,SM0KAK,,144.174838,FT8,-08,,,,,
2023-12-31,16:19:00,2023-12-31,16:20:12,DL2LAU,JO44,144.174838,FT8,+14,+21,,,,
2023-12-31,16:37:30,2023-12-31,16:38:42,DJ2LY,JO54,144.174838,FT8,+05,+08,,,,
2023-12-31,16:48:15,2023-12-31,16:49:15,DG1BHA,JO73,144.174838,FT8,-06,-04,,,,
2024-01-03,17:39:15,2024-01-03,17:40:15,OV3T,JO46,144.175302,FT8,+09,-24,,,,
